customerid,customername,customerrating,totalrides,customerfeedback,location,frequentdropofflocation,age,gender
cust33,Samar Kumar,3.4,63,Distinctio nobis vel blanditiis recusandae neque sit.,Colaba,South Mumbai,41,Female
cust34,Riaan Karnik,2.0,31,Dolore quos fuga ipsum animi eos veniam.,Sion,Borivali,23,Male
cust35,Jayesh Savant,3.9,9,Suscipit ex dolores a quia id.,Vashi,Thane,26,Male
cust36,Zoya Varkey,3.6,71,Adipisci quisquam suscipit totam.,Dadar,Andheri,51,Other
cust37,Zaina Krishnamurthy,2.7,28,Sint aut optio nobis doloremque non voluptas.,Sion,Thane,64,Other
cust38,Dhruv Sule,1.8,40,Laboriosam atque dolor quia.,Ghatkopar,Malad,59,Female
cust39,Emir Ray,2.8,67,Officia maiores saepe nam quidem ullam.,Kurla,South Mumbai,33,Male
cust40,Ela Banik,1.3,3,Sit maiores mollitia minima.,Borivali,Thane,32,Other
cust41,Shayak Bandi,1.9,10,Harum incidunt necessitatibus provident dicta deleniti.,Versova,Malad,21,Male
cust42,Nayantara Kala,1.3,5,Perferendis nisi fugit officiis.,Kandivali,Juhu,22,Other
cust43,Pranay Kalita,2.0,86,Tempora quasi maxime voluptatum quis aperiam fuga.,Kurla,Bandra,52,Male
cust44,Dharmajan Arora,3.9,74,Veritatis fugit laborum odit exercitationem ipsum incidunt quaerat.,Borivali,Kurla,33,Female
cust45,Gatik Manda,4.2,25,Repudiandae maxime velit.,South Mumbai,South Mumbai,60,Female
cust46,Aarav Varghese,2.4,53,Adipisci labore libero optio laudantium dicta aspernatur at.,Kurla,Kandivali,64,Male
cust47,Eva Gola,3.7,83,Totam optio debitis molestiae maxime rem dolorum incidunt.,South Mumbai,Colaba,43,Other
cust48,Shlok Grover,2.4,14,Itaque hic consequuntur tempora maxime cupiditate.,Bandra,Bandra,30,Other
cust49,Mehul Dasgupta,2.8,55,Omnis molestiae facilis modi iure numquam odio.,Dadar,Andheri,47,Male
cust50,Dharmajan Zachariah,4.5,10,Dignissimos consequuntur consequuntur aperiam voluptatibus.,Kurla,Vashi,53,Male
cust51,Aaina Ratti,1.2,70,Nisi molestiae officia optio enim porro.,Kandivali,Colaba,23,Male
cust52,Anika Bahri,1.7,63,Fuga quo commodi facere ipsum illum impedit.,Kurla,Bandra,43,Male
cust53,Anay Venkatesh,1.7,1,Tempora minus magnam itaque ullam.,Ghatkopar,Andheri,47,Female
cust54,Tara Kurian,2.7,94,Sint illum a rerum.,Vashi,Thane,60,Other
cust55,Samaira Khosla,2.9,25,Repudiandae maxime iste.,Andheri,Bandra,21,Other
cust56,Jayan Rajagopalan,3.9,8,At nulla maxime exercitationem accusantium quo saepe.,Versova,Juhu,21,Male
cust57,Miraya Vora,3.3,65,Atque aperiam aliquam corporis necessitatibus maiores.,Sion,Kandivali,51,Male
cust58,Mehul Das,1.2,66,Fugiat nesciunt est itaque perferendis eos hic.,South Mumbai,Kandivali,29,Male
cust59,Yakshit Hayer,3.4,87,Porro cumque odit occaecati sint.,Kandivali,Bandra,43,Male
cust60,Priyansh Kunda,4.8,73,Corrupti officia dicta culpa.,Bandra,Borivali,56,Male
cust61,Taimur Venkatesh,3.5,54,Numquam non porro optio aliquam.,Malad,Borivali,54,Other
cust62,Saira Sharaf,2.3,34,Laudantium sapiente est quia.,Bandra,Malad,63,Female
cust63,Ishita Anne,2.0,51,Nisi deleniti consequatur at deleniti at.,Dadar,Malad,59,Female
cust64,Anvi Sagar,2.8,97,Ad ut non accusantium quaerat minus error.,Sion,South Mumbai,18,Female
cust65,Indrans Kale,3.5,73,Occaecati dolores quae a.,South Mumbai,South Mumbai,52,Male
cust66,Alisha Sami,3.0,17,Quo hic mollitia commodi suscipit.,Sion,Juhu,22,Male
cust67,Rati Ramakrishnan,2.5,21,Quam dolorum amet quisquam odio debitis enim.,Kurla,Kandivali,52,Other
cust68,Parinaaz Vyas,2.2,84,Quis aspernatur nulla corporis consequatur ab.,Thane,Colaba,60,Other
cust69,Divyansh Vyas,2.2,85,Harum quod exercitationem nobis quasi tempora earum illo.,South Mumbai,Sion,26,Female
cust70,Purab Batta,1.5,14,Culpa maxime animi doloremque tempora veritatis possimus quas.,Versova,Thane,27,Female
cust71,Riya Krish,2.1,27,Neque ipsum natus inventore rem est.,Versova,Juhu,31,Other
cust72,Sara Mall,3.5,34,Dolore at maxime quod.,Thane,Kurla,34,Male
cust73,Anvi Talwar,1.4,55,Dolor a consectetur aut quisquam reprehenderit.,Kandivali,Andheri,20,Male
cust74,Dharmajan Sinha,2.3,17,Officiis nostrum fuga repellendus amet facere.,Malad,Andheri,28,Other
cust75,Divij Hans,2.8,91,Est reprehenderit iure sint perspiciatis.,Ghatkopar,Thane,18,Male
cust76,Ryan Chakrabarti,1.3,89,Nihil earum error pariatur.,Sion,Dadar,52,Male
cust77,Dharmajan Dutta,4.3,75,Laudantium aspernatur aspernatur nemo unde.,Thane,Dadar,45,Male
cust78,Tejas Saran,1.2,47,Nobis delectus nisi soluta expedita quod.,Sion,Sion,20,Female
cust79,Parinaaz Balakrishnan,1.8,32,Quis laudantium nostrum eaque doloribus.,Malad,South Mumbai,40,Other
cust80,Damini Arora,4.5,53,Facilis exercitationem at quibusdam voluptatum modi architecto.,Borivali,Versova,27,Male
cust81,Tanya Mammen,4.5,23,Hic accusantium quo consequatur voluptatum temporibus.,Sion,Ghatkopar,19,Male
cust82,Tiya Arora,3.9,43,Velit velit sit id nisi praesentium.,Vashi,Sion,44,Other
cust83,Kabir Korpal,4.5,32,Ad eius ea modi corporis dolorem possimus.,Andheri,Dadar,62,Male
cust84,Umang Kurian,2.5,5,Optio reprehenderit eaque neque repellendus.,Kandivali,Kurla,32,Male
cust85,Nehmat Walla,4.3,59,Fugiat in vel mollitia omnis velit.,Juhu,Andheri,32,Male
cust86,Urvi Borra,1.1,25,Voluptate cumque ea dolorum.,Ghatkopar,Juhu,35,Male
cust87,Ahana  Bali,4.9,36,Ipsum neque officiis placeat sequi quod.,Juhu,Malad,50,Female
cust88,Gatik Arora,3.7,69,Sed repellendus perspiciatis magni numquam id deleniti perferendis.,Juhu,Colaba,25,Female
cust89,Advik Dhingra,1.7,34,Sunt repellat rerum.,Colaba,South Mumbai,56,Female
cust90,Khushi Raju,2.4,41,Esse mollitia amet est et quis.,Ghatkopar,Borivali,50,Male
cust91,Nitara Chakraborty,2.5,74,Inventore aliquam accusamus quo quam earum.,Bandra,Andheri,20,Other
cust92,Arnav Bhatt,2.7,67,Autem deserunt exercitationem cum molestiae.,Sion,Vashi,52,Other
cust93,Eva Ravi,3.9,95,Magni enim aliquid asperiores maiores saepe quae provident.,Versova,Malad,30,Female
cust94,Nayantara Keer,2.7,86,Blanditiis totam soluta commodi praesentium repellat molestias.,Sion,Juhu,57,Female
cust95,Ivana Bhatia,3.7,16,Qui iste quae culpa ipsam neque.,Versova,Sion,37,Other
cust96,Adah Arora,2.2,53,Veritatis beatae accusamus nobis.,Juhu,Ghatkopar,62,Female
cust97,Yakshit Bumb,3.2,25,Dolores ipsa sit.,Ghatkopar,Malad,42,Other
cust98,Tara Sood,4.0,23,Voluptate modi molestiae eveniet at eveniet rerum.,Borivali,Borivali,37,Female
cust99,Umang Boase,3.2,1,Natus dignissimos ullam itaque nisi quaerat animi.,Andheri,Andheri,31,Female
cust100,Nirvaan Tank,4.1,78,Animi alias nulla deleniti sint est magni.,Malad,Juhu,47,Female
cust101,Rania Anne,2.8,28,Quisquam asperiores ut illum animi recusandae voluptas ab.,Thane,Kurla,65,Male
cust102,Dhanuk Balay,3.6,37,Aspernatur facere voluptatum.,Thane,Malad,58,Other
cust103,Vihaan Sheth,2.3,97,Qui nemo veniam.,Bandra,Malad,37,Male
cust104,Heer Chauhan,4.2,19,Libero accusamus libero distinctio nemo.,Colaba,Colaba,33,Female
cust105,Tushar Dube,3.4,99,Debitis adipisci blanditiis quasi.,South Mumbai,Kurla,44,Other
cust106,Abram Kumer,3.3,92,Veritatis ut et.,Versova,Ghatkopar,49,Female
cust107,Abram Ben,2.0,84,A ipsa occaecati.,Versova,Colaba,24,Female
cust108,Himmat Biswas,1.9,90,Eum iusto earum harum deserunt doloremque quaerat.,Thane,Kurla,21,Other
cust109,Bhavin Sant,2.0,16,Autem optio labore vero.,Kurla,Dadar,47,Other
cust110,Lavanya Ramakrishnan,3.1,72,Ipsum corporis doloremque qui necessitatibus fugit.,Borivali,Juhu,46,Other
cust111,Indrans Hari,4.3,65,Occaecati error error impedit.,Ghatkopar,Kandivali,53,Female
cust112,Parinaaz Lall,4.6,96,Aspernatur earum non optio.,Kandivali,Kurla,46,Female
cust113,Onkar Dhar,4.0,82,Excepturi incidunt beatae quidem incidunt accusamus.,Andheri,Vashi,51,Female
cust114,Uthkarsh Dugal,3.5,36,Asperiores eligendi fugiat qui fuga laudantium accusamus.,Kurla,South Mumbai,63,Female
cust115,Rasha Bal,1.9,43,Fugit nihil aperiam earum.,Juhu,Sion,52,Male
cust116,Prisha Lad,1.6,30,Tenetur debitis voluptatem molestias.,Ghatkopar,Versova,27,Other
cust117,Sana Varughese,1.9,54,Exercitationem quod maxime et consectetur.,Ghatkopar,Juhu,52,Female
cust118,Prerak Wali,2.7,27,Dolore ut at ducimus odio.,Kandivali,Ghatkopar,42,Other
cust119,Jayant Banerjee,4.8,3,Praesentium amet harum adipisci.,Kandivali,Sion,54,Female
cust120,Tejas Sawhney,2.9,46,Pariatur enim earum eius consectetur enim.,Andheri,Vashi,42,Female
cust121,Uthkarsh Bedi,3.2,95,Necessitatibus nobis voluptas aliquid eveniet unde numquam.,Thane,Vashi,56,Male
cust122,Amani Buch,3.0,35,Quis labore odio.,Ghatkopar,Kurla,19,Female
cust123,Piya Rege,2.3,87,Repellendus odio modi laudantium modi reiciendis.,Vashi,Ghatkopar,64,Male
cust124,Akarsh Mahajan,4.4,17,Iure et eaque quae laboriosam.,Borivali,Thane,19,Female
cust125,Saanvi Bhagat,3.4,85,Voluptas odio sed expedita.,Colaba,South Mumbai,59,Female
cust126,Hazel Gole,1.5,60,Voluptas porro voluptatum sit nisi officiis optio.,Dadar,Colaba,34,Female
cust127,Chirag Butala,2.3,59,Iure sequi possimus.,Juhu,Juhu,42,Female
cust128,Kiara Bala,4.0,54,Necessitatibus enim fugit exercitationem incidunt.,Andheri,Kandivali,23,Female
cust129,Shaan Arya,1.1,70,Tempore aliquam error voluptatum unde.,Colaba,Juhu,32,Other
cust130,Alisha Contractor,1.3,84,Possimus mollitia ipsum minima nostrum.,Colaba,Vashi,19,Male
cust131,Oorja Dugar,1.8,3,Similique recusandae mollitia quod animi fugiat.,Borivali,Dadar,33,Male
cust132,Jiya Kala,2.9,15,Officiis optio quo.,Borivali,Bandra,47,Other
cust133,Rasha Choudhury,2.0,48,Et mollitia totam aliquam suscipit porro harum.,Dadar,Borivali,56,Other
cust134,Fateh Ratti,3.9,100,Molestiae animi incidunt sint.,Kandivali,Dadar,37,Male
cust135,Rohan Swamy,3.3,40,Minus nostrum similique eius blanditiis.,Borivali,Malad,42,Female
cust136,Neelofar Lala,4.8,26,Necessitatibus ducimus placeat dolores nam inventore quidem.,South Mumbai,Borivali,62,Other
cust137,Mehul Cheema,2.0,90,Repudiandae odit possimus nemo.,Vashi,Andheri,61,Other
cust138,Pranay Seshadri,4.2,73,Aliquam suscipit inventore veritatis aliquid commodi fugiat.,Vashi,Colaba,40,Other
cust139,Alia Sibal,2.7,48,Ratione ipsam accusamus numquam.,South Mumbai,Thane,59,Female
cust140,Yuvaan Kuruvilla,1.1,54,Accusamus omnis maxime laborum.,Kandivali,Kurla,24,Female
cust141,Divij Karnik,4.8,82,Expedita vero adipisci quisquam.,Sion,Kandivali,47,Other
cust142,Gatik Varughese,1.6,23,Animi ratione corrupti voluptatem aperiam eaque.,Versova,Thane,59,Female
cust143,Abram Sehgal,3.5,69,Voluptatum sed eius delectus nihil nulla.,Vashi,Kurla,47,Female
cust144,Yakshit Kuruvilla,4.3,76,Hic a consequatur molestias labore aspernatur voluptatem.,Andheri,Juhu,33,Male
cust145,Sana Dubey,2.1,58,Cumque magni quis itaque veritatis ipsum esse est.,Bandra,Vashi,47,Other
cust146,Jayesh Vala,3.4,49,Accusantium amet explicabo suscipit quo mollitia corrupti nihil.,Juhu,Colaba,49,Female
cust147,Vedika Wali,1.7,28,Pariatur repellat corrupti occaecati earum.,Juhu,Vashi,34,Female
cust148,Sumer Kunda,2.1,77,Corrupti debitis minus adipisci quasi minima explicabo.,Versova,Sion,35,Other
cust149,Kanav Khalsa,1.0,25,Odit commodi dignissimos laudantium.,South Mumbai,Bandra,64,Female
cust150,Shaan Arora,3.0,98,Sunt fugiat aliquam eligendi.,Bandra,Versova,48,Other
cust151,Azad Raman,3.8,58,Velit delectus alias ratione.,Vashi,Colaba,23,Female
cust152,Vanya Barad,1.9,89,At quaerat beatae dolores.,Bandra,Andheri,60,Other
cust153,Aniruddh Issac,2.5,71,Perferendis voluptate rerum numquam vero perspiciatis quod.,Thane,Juhu,45,Other
cust154,Myra Soman,3.2,46,Nemo dolorum voluptatum tempore beatae at.,Versova,Kurla,35,Female
cust155,Jayan Das,2.0,16,Incidunt repudiandae dolor repudiandae nemo qui fugiat minus.,Versova,Bandra,38,Male
cust156,Darshit Ahluwalia,4.0,98,Ipsa reiciendis officiis eaque natus exercitationem expedita.,Versova,Dadar,30,Male
cust157,Kimaya Deol,4.0,36,Nisi totam unde consequuntur officia.,Versova,Borivali,51,Other
cust158,Lakshay Kibe,2.1,13,Explicabo commodi error quis voluptates.,Kandivali,Bandra,36,Male
cust159,Purab Anand,2.4,39,Consequuntur occaecati molestiae nihil recusandae omnis.,Colaba,Versova,52,Male
cust160,Krish Sankar,2.1,7,Dolorum nemo quos cum nesciunt ratione repellat.,Thane,Andheri,62,Male
cust161,Ritvik Toor,3.6,97,Corrupti illum architecto earum quis facere nihil.,Kurla,South Mumbai,18,Other
cust162,Anahi Sampath,2.1,62,Repellendus est maxime laborum cupiditate.,Kurla,Juhu,29,Male
cust163,Nakul Chaudhary,2.0,62,Esse non non esse incidunt dolore.,South Mumbai,Kandivali,22,Female
cust164,Ira Walia,3.0,74,Corporis molestias cupiditate aspernatur ad vero.,Malad,Malad,21,Male
cust165,Tanya Balakrishnan,1.6,73,Deserunt nulla dicta natus.,Andheri,South Mumbai,33,Male
cust166,Mamooty Chand,3.2,54,Recusandae illum magni architecto consequatur asperiores facere.,Borivali,Borivali,57,Male
cust167,Misha Sant,4.1,49,Perferendis animi rem at id reiciendis illum.,Kurla,Sion,46,Female
cust168,Vihaan Karan,4.4,55,Quod quos quae dicta.,Andheri,Borivali,57,Male
cust169,Emir Agate,3.4,95,Nemo dolore ipsum veritatis vero a.,South Mumbai,Vashi,31,Other
cust170,Zeeshan Ratti,1.8,85,Voluptatibus excepturi ea molestiae quisquam.,South Mumbai,Dadar,33,Male
cust171,Zeeshan Dâ€™Alia,3.2,21,Dignissimos ipsam molestiae sequi.,Colaba,Ghatkopar,46,Other
cust172,Diya Ramakrishnan,3.4,38,Adipisci ipsa cum.,Colaba,Bandra,36,Other
cust173,Samarth Sule,2.1,59,Quae numquam maiores perspiciatis.,South Mumbai,Malad,32,Female
cust174,Tiya Ramachandran,4.2,81,Eius porro sunt debitis nostrum.,Borivali,Malad,30,Female
cust175,Mishti Viswanathan,1.5,29,Tenetur animi officiis in laudantium.,Malad,Dadar,35,Male
cust176,Baiju Sem,1.3,22,Maiores quo in.,Vashi,Andheri,56,Other
cust177,Keya Hegde,4.3,37,Sapiente consequatur incidunt officia exercitationem nesciunt ipsum.,Kurla,South Mumbai,47,Other
cust178,Drishya Rajan,2.2,52,Illo veniam debitis.,Andheri,Thane,52,Female
cust179,Shaan Sundaram,2.8,77,Architecto at quidem unde minus cumque.,Colaba,Sion,45,Other
cust180,Pihu Chatterjee,2.3,33,Iusto illum animi assumenda hic.,Colaba,South Mumbai,32,Other
cust181,Kiaan Seshadri,4.3,74,Itaque sequi nesciunt sit tenetur officiis corporis aspernatur.,Borivali,Colaba,61,Female
cust182,Anay Vala,3.3,98,Explicabo quibusdam recusandae aut dolorum quia voluptatum.,Vashi,Dadar,48,Other
cust183,Kartik Rao,3.6,36,Quae sint aut et repellendus.,Dadar,Borivali,45,Other
cust184,Shlok Dora,4.3,12,Tenetur nobis voluptatem voluptas rerum dolorem eveniet.,Kurla,Juhu,44,Female
cust185,Samaira Khosla,2.3,14,Quasi provident eum omnis quod velit.,Kandivali,Dadar,39,Female
cust186,Abram Sachar,3.8,37,Sit nesciunt quo tempore dolorem perspiciatis asperiores.,Malad,Ghatkopar,53,Male
cust187,Amani Ramaswamy,2.8,41,Ad autem odit quo delectus deserunt error.,Andheri,Juhu,25,Female
cust188,Kiara Reddy,4.5,1,Reiciendis repellat consequatur dolores repudiandae provident dignissimos.,Malad,Kandivali,52,Female
cust189,Tiya Bhatti,2.7,25,Eos natus possimus cupiditate magnam voluptatem quae.,Thane,Juhu,57,Female
cust190,Yashvi Chanda,3.5,98,Magni nemo itaque enim laudantium.,Colaba,Bandra,35,Other
cust191,Zaina Bansal,1.5,37,Qui quaerat distinctio consectetur exercitationem quam.,Kurla,Sion,62,Female
cust192,Zeeshan Sheth,1.5,81,Earum saepe delectus veritatis ex accusantium odio nulla.,Borivali,Vashi,33,Other
cust193,Sumer Saxena,1.6,71,Molestiae accusantium optio occaecati eos provident.,Colaba,Thane,44,Male
cust194,Darshit Grover,1.9,15,Minus unde non.,Kurla,South Mumbai,59,Male
cust195,Darshit Ravel,3.0,92,Vel dignissimos nemo enim animi.,Andheri,Thane,63,Female
cust196,Lakshit Viswanathan,2.7,62,Eos quo corporis blanditiis dolor doloremque.,Kurla,Bandra,47,Other
cust197,Priyansh Gera,1.6,25,Veritatis consectetur esse.,Sion,Borivali,50,Other
cust198,Neysa Uppal,4.5,9,Nam ipsa dolorem corporis expedita tempore.,Andheri,Vashi,44,Female
cust199,Darshit Bora,4.7,65,Nemo aliquam porro suscipit assumenda.,Andheri,Kandivali,18,Female
cust200,Armaan Raj,3.9,76,Laborum accusamus perspiciatis at nihil corporis.,Borivali,Malad,49,Male
cust201,Darshit Kara,2.8,62,Tenetur cumque numquam maxime.,Juhu,Juhu,53,Other
cust202,Kismat Wagle,2.5,42,Ipsa animi reiciendis omnis ullam distinctio quibusdam.,Kandivali,Bandra,62,Male
cust203,Vihaan Suri,3.3,30,Error sequi distinctio aspernatur libero ullam.,Kandivali,Vashi,44,Male
cust204,Priyansh Lata,2.3,61,Porro enim voluptatum vel facere libero accusantium.,Versova,Sion,42,Female
cust205,Reyansh Mangat,5.0,84,Vitae perspiciatis iste assumenda libero tempora fuga.,Dadar,Kurla,20,Male
cust206,Arnav Ratti,3.0,76,Recusandae iure distinctio aliquid dicta velit veritatis.,Juhu,Kandivali,24,Female
cust207,Divij Sabharwal,1.4,59,Soluta aliquam ex illum.,Colaba,Versova,27,Female
cust208,Hunar Guha,4.5,20,Aspernatur est accusantium fugit reprehenderit.,South Mumbai,Kurla,34,Female
cust209,Khushi Mandal,3.5,51,Consequuntur velit possimus reprehenderit iste incidunt odio dicta.,Malad,South Mumbai,39,Other
cust210,Ishita Mani,4.4,49,Fuga accusamus tempore aliquam.,Juhu,Malad,63,Female
cust211,Farhan Lala,4.5,5,Ipsum maxime non.,Borivali,South Mumbai,33,Other
cust212,Aaina Thakkar,3.7,37,Repudiandae amet a laborum eaque eum temporibus.,Bandra,Versova,23,Female
cust213,Raunak Badal,4.9,98,Aspernatur nihil ex veritatis error in optio.,Malad,Versova,24,Female
cust214,Badal Vora,1.7,39,Dicta doloribus sapiente dignissimos deleniti delectus.,Sion,Colaba,20,Female
cust215,Darshit Sekhon,4.2,38,Quisquam repellat optio dolorem ratione hic.,Juhu,Juhu,45,Male
cust216,Advik Tiwari,2.0,53,Molestiae dolor quas ducimus voluptatibus natus.,Borivali,Malad,29,Male
cust217,Vihaan Reddy,1.7,79,Hic blanditiis tenetur nam odit eos.,Kandivali,Ghatkopar,57,Other
cust218,Nitya Sahni,2.0,75,Quasi blanditiis ducimus ipsam eligendi laudantium.,Dadar,Bandra,47,Other
cust219,Indranil Kaur,2.0,33,Temporibus necessitatibus molestias consequuntur.,Malad,Colaba,47,Female
cust220,Anay Bansal,3.7,21,Amet nesciunt deleniti amet dicta est.,South Mumbai,Kurla,40,Other
cust221,Eva Ratta,2.2,55,Repellendus sapiente exercitationem eos autem.,Versova,Andheri,47,Female
cust222,Divit Dave,1.8,50,Ipsum tempore quam laudantium maxime.,Kandivali,Kurla,24,Male
cust223,Nishith Bhakta,2.5,46,Nihil hic consectetur quasi molestias facilis.,Borivali,Andheri,62,Female
cust224,Aarav Edwin,1.1,85,Reprehenderit quisquam alias quasi delectus quos voluptate.,Ghatkopar,Andheri,18,Other
cust225,Zoya Dora,4.5,100,Pariatur magnam nulla nostrum laboriosam cumque.,Versova,Colaba,56,Other
cust226,Nirvaan Goel,3.0,37,Eveniet consequuntur culpa quod recusandae cupiditate debitis.,Vashi,Vashi,32,Other
cust227,Manikya Sant,4.2,29,Voluptatem fugiat aliquam eum.,Malad,Bandra,57,Female
cust228,Zoya Gulati,3.7,93,Fuga rem dolorem voluptatum cum praesentium voluptate exercitationem.,Vashi,Malad,61,Male
cust229,Ranbir Jha,3.5,81,Possimus maxime doloribus ipsam cumque cumque.,Malad,Colaba,37,Female
cust230,Prisha Ahluwalia,1.1,47,Doloremque earum praesentium sapiente.,Versova,Dadar,23,Female
cust231,Jiya Lad,2.3,54,Placeat illum repudiandae excepturi quibusdam accusamus tenetur.,Dadar,Bandra,26,Other
cust232,Nitya Tak,4.5,47,Dolore nulla sequi quas nesciunt numquam dolores.,Thane,Thane,35,Male
cust233,Himmat Devan,2.0,62,Mollitia error quos doloribus odio quos.,Vashi,Andheri,65,Female
cust234,Faiyaz Balan,4.2,60,Commodi quia odit minima.,South Mumbai,Dadar,32,Other
cust235,Amani Gade,3.9,51,Necessitatibus id deserunt vel odio at eos inventore.,Kandivali,Vashi,53,Female
cust236,Kashvi Swamy,1.4,51,Dolores inventore vero possimus quibusdam dolores explicabo.,Colaba,Andheri,52,Male
cust237,Kartik Shan,2.8,87,Accusamus soluta iure rem ullam amet veniam.,Versova,Malad,34,Other
cust238,Oorja Sarin,2.5,82,Sequi maxime vel totam.,Juhu,South Mumbai,61,Male
cust239,Drishya Buch,2.9,80,Impedit in dolor eaque.,Sion,Thane,38,Other
cust240,Kabir Doshi,1.9,9,Quidem ea enim dolorum praesentium recusandae.,Malad,Kandivali,47,Other
cust241,Raunak Talwar,2.2,53,Cumque odit consequuntur reprehenderit iusto ut porro.,South Mumbai,Dadar,20,Male
cust242,Mohanlal Walla,2.2,64,Nulla necessitatibus ipsa iure magni.,South Mumbai,South Mumbai,33,Other
cust243,Yuvraj  Shere,1.5,59,Mollitia ducimus optio voluptas saepe.,Juhu,Malad,65,Other
cust244,Mannat Subramanian,4.8,54,Optio distinctio dolorum nisi.,Borivali,Versova,64,Male
cust245,Vihaan Sachdev,4.5,84,Sed debitis maiores molestias quasi.,South Mumbai,Kandivali,49,Other
cust246,Piya Dugal,2.6,36,Voluptatibus totam in praesentium.,Colaba,Versova,41,Male
cust247,Anaya Bhatia,2.8,31,Rem sunt nostrum veritatis molestias doloribus nisi.,Kandivali,Juhu,24,Other
cust248,Ira Badal,2.5,83,Illum ea omnis ea sequi dolorem.,Juhu,Colaba,43,Female
cust249,Tara Kumer,1.8,16,Reprehenderit suscipit ad mollitia a.,Kandivali,Kandivali,47,Male
cust250,Anay Mahal,3.7,83,A perferendis similique esse dicta quos enim.,Malad,Borivali,19,Male
cust251,Tiya Madan,4.1,32,Dolorem hic assumenda ad.,Dadar,Vashi,54,Male
cust252,Samiha Sharma,1.3,98,Quia numquam laudantium saepe quia corrupti nulla.,Thane,Bandra,55,Male
cust253,Samaira Dora,4.3,30,Quibusdam fugit ab minima quidem nisi vero asperiores.,Juhu,Vashi,27,Other
cust254,Ishaan Thakur,1.0,19,Vel omnis quos quam ex et tenetur.,Dadar,Thane,34,Male
cust255,Nitara Devan,1.4,4,Aperiam nulla id cum.,Dadar,Colaba,40,Male
cust256,Riya Rama,3.4,3,Debitis ipsa sunt ipsum dolores animi id.,Dadar,Andheri,21,Male
